customer_id,origination_date,product_type,deposit_balance,loan_balance,target
C001,2019-03-14,checking_basic,1450.00,,
C001,2020-07-02,savings_standard,8200.00,,
C001,2022-01-19,auto_loan,,24000.00,
C001,2024-05-30,mortgage_fixed,,310000.00,
C002,2018-11-05,checking_basic,900.00,,
C002,2018-11-05,credit_card_rewards,,0.00,
C002,2021-04-22,savings_standard,15000.00,,
C002,2021-09-08,savings_standard,22000.00,,
C002,2023-02-14,savings_standard,41000.00,,
C003,2022-06-01,checking_premium,3100.00,,
C004,2017-08-19,checking_basic,600.00,,
C004,2019-02-27,,,,
C004,2021-10-11,auto_loan,,18500.00,
C005,2016-05-03,checking_basic,1200.00,,
C005,2018-09-14,cd_standard,30000.00,,
C005,2020-12-01,heloc,,65000.00,
C005,2022-03-18,,,,True
C006,2015-01-20,checking_basic,450.00,,
C006,2016-06-30,credit_card_secured,,0.00,
C006,2018-03-11,auto_loan,,12000.00,
C006,2019-11-25,checking_basic,2300.00,,
C006,2021-07-14,savings_standard,9800.00,,
C006,2023-04-02,money_market,88000.00,,
C006,2025-02-17,jumbo_cd,540000.00,,
